source_genesymbol	is_directed	target_genesymbol
CALM1	1	TRPC1
CALM3	1	TRPC1
CALM2	1	TRPC1
CAV1	1	TRPC1
DRD2	1	TRPC1
FKBP4	1	TRPC1
MDFI	1	TRPC1
ITPR2	1	TRPC1
MARCKS	1	TRPC1
GRM1	1	TRPC1
STIM1	1	TRPC1
TRPC1	1	TRPC3
TRPC3	1	TRPC1
TRPC1	1	TRPC4
TRPC4	1	TRPC1
TRPC1	1	TRPC5
TRPC5	1	TRPC1
TRPC1	1	TRPC6
TRPC1	1	PKD2
PKD2	1	TRPC1
TRPC1	1	TRPV4
TRPV4	1	TRPC1
TRPC1	1	TRPV6
CALM1	1	TRPC3
CALM3	1	TRPC3
CALM2	1	TRPC3
CASR	1	TRPC3
EPOR	1	TRPC3
HOMER1	1	TRPC3
ITPR1	1	TRPC3
ITPR3	1	TRPC3
ASPH	1	TRPC3
ORAI1	1	TRPC3
PRKG1	1	TRPC3
RNF24	1	TRPC3
SRC	1	TRPC3
TRPM4	1	TRPC3
PKD2	1	TRPC3
WNK4	1	TRPC3
FYN	1	TRPC4
SLC9A3R1	1	TRPC4
EPB41	1	TRPC4
RNF24	1	TRPC4
CABP1	1	TRPC5
NCS1	1	TRPC5
SESTD1	1	TRPC5
TRPC5	1	TRPC6
CALM1	1	TRPC6
CALM3	1	TRPC6
CALM2	1	TRPC6
FYN	1	TRPC6
CHRM1	1	TRPC6
MX1	1	TRPC6
NPHS1	1	TRPC6
PRKG1	1	TRPC6
NPHS2	1	TRPC6
RNF24	1	TRPC6
SNF8	1	TRPC6
SRC	1	TRPC6
PKD2	1	TRPC7
AKAP5	1	TRPV1
CALM1	1	TRPV1
CALM3	1	TRPV1
CALM2	1	TRPV1
CNR1	1	TRPV1
CDK5	1	TRPV1
TRPV1	1	NOS3
FAF1	1	TRPV1
GABARAP	1	TRPV1
KIF13B	1	TRPV1
PIRT	1	TRPV1
PRKACA	1	TRPV1
SRC	1	TRPV1
NTRK1	1	TRPV1
SLC50A1	1	TRPV2
EGFR	1	TRPV3
AKAP5	1	TRPV4
CALM1	1	TRPV4
CALM3	1	TRPV4
CALM2	1	TRPV4
FYN	1	TRPV4
HCK	1	TRPV4
ITPR3	1	TRPV4
ITCH	1	TRPV4
