pathway,Adjusted p-value,Significant (in gene set)
Metabolism,0.007903828464092303,66
Metabolism of amino acids and derivatives,0.15482831507407196,17
Threonine catabolism,0.2949259845457486,2
Major pathway of rRNA processing in the nucleolus and cytosol,0.1825691349706194,12
rRNA processing,0.1825691349706194,12
rRNA processing in the nucleus and cytosol,0.1825691349706194,12
Metabolism of RNA,0.21133190342755193,40
Adaptive Immune System,0.32074234369271454,16
Immune System,0.007903828464092303,49
Antigen processing: Ubiquitination & Proteasome degradation,0.876591737390175,9
Class I MHC mediated antigen processing & presentation,0.7993380718865633,10
Innate Immune System,0.009758957483003813,38
Cellular responses to stress,0.11046950093749712,16
Detoxification of Reactive Oxygen Species,1,1
Metabolism of proteins,0.025280313440447188,63
Asparagine N-linked glycosylation,0.47256442532329196,10
N-glycan trimming in the ER and Calnexin/Calreticulin cycle,1,1
Post-translational protein modification,0.19964214086974919,35
Neutrophil degranulation,0.1065138603605603,27
Cellular responses to external stimuli,0.14814210343880546,18
Calnexin/calreticulin cycle,1,0
Protein repair,1,0
Mitochondrial iron-sulfur cluster biogenesis,1,1
Metabolism of water-soluble vitamins and cofactors,1,4
Metabolism of vitamins and cofactors,0.6997500122117127,8
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",1,0
Selenoamino acid metabolism,1,0
Molybdenum cofactor biosynthesis,1,0
Signal Transduction,0.04763382454427784,38
MAPK family signaling cascades,0.15482831507407196,13
MAPK6/MAPK4 signaling,0.20613244066257758,11
ABC transporters in lipid homeostasis,1,0
"Plasma lipoprotein assembly, remodeling, and clearance",1,1
Transport of small molecules,0.98656487215679,14
ABC-family proteins mediated transport,1,5
Plasma lipoprotein remodeling,1,0
HDL remodeling,1,0
Iron uptake and transport,0.7096845139285669,4
Glycolysis,1.745642352587261e-4,9
Gluconeogenesis,0.2998601463055817,4
Glucose metabolism,0.007903828464092303,9
Metabolism of carbohydrates,0.007903828464092303,17
PI Metabolism,1,1
Phospholipid metabolism,1,4
Glycosphingolipid metabolism,1,0
Vitamin B2 (riboflavin) metabolism,1,0
Sphingolipid metabolism,1,0
Metabolism of lipids,1,12
Glycerophospholipid catabolism,1,0
mTOR signalling,0.5652962399673682,4
L13a-mediated translational silencing of Ceruloplasmin expression,0.04229775330977078,26
SRP-dependent cotranslational protein targeting to membrane,0.186683206319054,20
Eukaryotic Translation Initiation,0.06528344526890202,26
Formation of a pool of free 40S subunits,0.19343384985648135,20
"Formation of the ternary complex, and subsequently, the 43S complex",0.1825691349706194,12
Ribosomal scanning and start codon recognition,0.1825691349706194,13
GTP hydrolysis and joining of the 60S ribosomal subunit,0.19343384985648135,20
Cap-dependent Translation Initiation,0.1065138603605603,25
Translation,0.038000210481252066,29
Nonsense-Mediated Decay (NMD),0.20613244066257758,21
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),0.1928924062256466,21
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),0.20613244066257758,21
HDACs deacetylate histones,1,1
Chromatin modifying enzymes,0.7645615081515763,5
Chromatin organization,0.7645615081515763,5
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,1,0
Linoleic acid (LA) metabolism,1,0
alpha-linolenic acid (ALA) metabolism,1,0
