pathway,Adjusted p-value,Significant (in gene set)
GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION,0.5370049167586848,2
GO_CARDIAC_CHAMBER_DEVELOPMENT,0.9769833866615438,4
GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,1,0
GO_CIRCADIAN_RHYTHM,1.9715106203735522e-4,16
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING,1,0
GO_SPINAL_CORD_DEVELOPMENT,0.3862158315703909,4
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,0.021822057523580143,6
GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS,1,1
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,0.7178451215188324,2
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY,1.4109462851457039e-12,49
GO_POTASSIUM_ION_TRANSPORT,1,3
GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.2581827093651364,3
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,0.4340426862501141,5
GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.8779129136260913,1
GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION,0.5201640341682086,2
GO_APICAL_PROTEIN_LOCALIZATION,1,0
GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY,1,2
GO_FOREBRAIN_NEURON_DEVELOPMENT,0.9454004369267038,1
GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION,0.23740948037796228,2
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT,0.6205531268452404,2
GO_MITOTIC_CYTOKINESIS,0.46133454210961766,3
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.18988207529099993,3
GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION,0.5450717389101933,3
GO_CYTOPLASMIC_TRANSLATION,0.7482748899184879,2
GO_MEIOTIC_CHROMOSOME_SEGREGATION,1,1
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,1,1
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,1,1
GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS,9.743946304560436e-8,13
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.9454004369267038,1
GO_DENDRITE_DEVELOPMENT,0.006350068188140413,13
GO_REGULATION_OF_RESPIRATORY_BURST,0.6914961871364044,1
GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION,0.7482748899184879,1
GO_MEMORY,0.5902647582496886,4
GO_NEURON_DEVELOPMENT,2.9046038793022864e-5,45
GO_REGULATION_OF_GOLGI_ORGANIZATION,0.21373336822932945,2
GO_ENDOTHELIAL_CELL_DEVELOPMENT,1,1
GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION,0.47319465432182045,2
GO_REGULATION_OF_CELL_ACTIVATION,6.757838320691736e-6,32
GO_MULTICELLULAR_ORGANISM_AGING,0.16200268608177415,3
GO_ATP_DEPENDENT_CHROMATIN_REMODELING,1,0
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.03234997093794862,35
GO_ION_TRANSPORT,0.7964706414140704,23
GO_LIPID_MODIFICATION,0.018320852527587368,9
GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT,0.3126596973007413,2
GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION,1,0
GO_ACYLGLYCEROL_HOMEOSTASIS,1,0
GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_ASSEMBLY,0.5755248796465144,4
GO_HEMOGLOBIN_METABOLIC_PROCESS,1,0
GO_SINGLE_FERTILIZATION,0.02781386192802018,6
GO_CHROMOSOME_ORGANIZATION,7.388871481398266e-5,43
GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,1,2
GO_SYNAPTIC_VESICLE_LOCALIZATION,0.026458985546124334,9
GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,1,0
GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.2482698650255437,4
GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION,0.968177778296583,1
GO_METANEPHRIC_NEPHRON_MORPHOGENESIS,0.9035521417480447,1
GO_RESPONSE_TO_UV_C,0.6914961871364044,1
GO_CARBOHYDRATE_CATABOLIC_PROCESS,4.925215330962694e-4,11
GO_DENTATE_GYRUS_DEVELOPMENT,0.6563439224933438,1
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT,1,0
GO_LABYRINTHINE_LAYER_DEVELOPMENT,0.2731372051851374,3
GO_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION,1,0
GO_CERAMIDE_CATABOLIC_PROCESS,1,0
GO_EXCRETION,1,0
GO_DIGESTION,1,1
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,0.4486907818424733,2
GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,0.44740771179028255,3
GO_HINDBRAIN_DEVELOPMENT,0.07183494457376327,8
GO_OLIGOSACCHARIDE_METABOLIC_PROCESS,1,0
GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT,0.5906121810691727,1
GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST,1,0
GO_CHROMOSOME_SEGREGATION,0.10497001391247834,11
GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,0.18988207529099993,3
GO_ETHER_METABOLIC_PROCESS,1,0
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,0.494849694747842,5
GO_CYTOKINE_METABOLIC_PROCESS,0.0227185138891776,9
GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE,0.316204122437798,4
GO_STEROID_BIOSYNTHETIC_PROCESS,0.41388793504617255,5
GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT,1,0
GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.0403803801885186,7
GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,0.8026235217122563,3
GO_N_GLYCAN_PROCESSING,1,0
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT,1,0
GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,1,1
GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY,1,0
GO_MEMBRANE_DEPOLARIZATION,0.14702407929704228,5
GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION,1,0
GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,0.47319465432182045,2
GO_REGULATION_OF_LYASE_ACTIVITY,1,1
GO_RESPONSE_TO_NITROGEN_COMPOUND,1.4109462851457039e-12,60
GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,0.5557416876321177,4
GO_REGULATION_OF_DNA_RECOMBINATION,0.7439278586705446,3
GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION,0.14957107007683115,10
GO_RESPONSE_TO_ETHANOL,0.05520656328423473,8
GO_SULFUR_COMPOUND_METABOLIC_PROCESS,0.9454004369267038,2
GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT,0.9454004369267038,1
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING,1,0
GO_POSITIVE_REGULATION_OF_DNA_REPLICATION,0.014262343913407515,5
GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,0.006073725477342007,11
GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,0.03980696727702947,6
GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT,0.23740948037796228,2
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,0.5906121810691727,1
GO_NUCLEOTIDE_PHOSPHORYLATION,1,0
GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,0.761004979177393,2
GO_GLUTAMATE_SECRETION,1,0
GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING,0.01713298933211159,8
GO_REGULATION_OF_VASCULOGENESIS,1,0
GO_LENS_FIBER_CELL_DIFFERENTIATION,0.4803121233934732,2
GO_SENSORY_PERCEPTION,0.8053534553866574,9
GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT,0.002276211311661411,11
GO_FATTY_ACID_CATABOLIC_PROCESS,0.23056610321586296,3
GO_REGULATION_OF_VESICLE_FUSION,0.8554066014833287,1
GO_REGULATION_OF_LIPID_STORAGE,0.6205531268452404,2
GO_CARBOHYDRATE_TRANSPORT,0.07054361118218569,7
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,1,4
GO_EMBRYONIC_HEMOPOIESIS,0.9239140082773152,1
GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING,0.4904949417927261,15
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,0.5557416876321177,3
GO_RESPONSE_TO_IONIZING_RADIATION,3.746508281059236e-7,18
GO_EPITHELIUM_DEVELOPMENT,0.0032345643221211107,38
GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION,1,0
GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS,1,0
GO_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT,1,0
GO_PROTEIN_LOCALIZATION_TO_CYTOSKELETON,0.6531646040886742,2
GO_NUCLEAR_ENVELOPE_REASSEMBLY,0.6914961871364044,1
GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR,0.09824690202295054,4
GO_REGULATION_OF_AUTOPHAGY,1.5160768004120382e-4,19
GO_PHOSPHOLIPID_METABOLIC_PROCESS,0.02229737455587536,10
GO_AMMONIUM_ION_METABOLIC_PROCESS,1,0
GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION,1,1
GO_NCRNA_CATABOLIC_PROCESS,1,0
GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION,0.6531646040886742,4
GO_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS,1,0
GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION,1,0
GO_REGULATION_OF_CELL_MATURATION,0.35941389266859863,2
GO_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT,0.0013843802619780707,19
GO_MAMMARY_GLAND_MORPHOGENESIS,0.16607824718565498,4
GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY,1,0
GO_URETER_DEVELOPMENT,0.6563439224933438,1
GO_BODY_MORPHOGENESIS,1,1
GO_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE,0.9225630633136428,2
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION,1,1
GO_POSITIVE_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.18988207529099993,2
GO_PROTEIN_ACTIVATION_CASCADE,1,0
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY,0.906306337116098,2
GO_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION,1,1
GO_REGULATION_OF_COLLATERAL_SPROUTING,0.7482748899184879,1
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY,0.6914961871364044,1
GO_NEURON_RECOGNITION,0.5672802746302353,2
GO_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,1,0
GO_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,0.2778608114515372,5
GO_RESPONSE_TO_AMMONIUM_ION,0.0015287922200984151,11
GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS,0.0024716145583530353,16
GO_PINOCYTOSIS,0.2600303274011024,2
GO_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS,0.3917511628721895,4
GO_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS,1,0
GO_LUNG_EPITHELIUM_DEVELOPMENT,1,1
GO_METENCEPHALON_DEVELOPMENT,0.25831551920484447,5
GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY,1,0
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0.10753412654547996,8
GO_CELLULAR_RESPONSE_TO_VIRUS,0.04842713015139052,5
GO_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY,1,0
GO_RESPIRATORY_GASEOUS_EXCHANGE,1,0
GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,2.0271963198593377e-5,11
GO_AMINO_ACID_ACTIVATION,1,0
GO_DENDRITIC_CELL_DIFFERENTIATION,0.5979748568931755,2
GO_NATURAL_KILLER_CELL_DIFFERENTIATION,1,0
GO_BONE_TRABECULA_MORPHOGENESIS,1,0
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,1,0
GO_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,0.03489705642040939,8
